日期,星期,時間,天主題,地點,主要景點,交通方式,票券/備忘,住宿,早上行程,中午行程,晚上行程,預約狀態,重要提醒
9/25,五,6:48,高鐵→聖馬洛（海盜古城）,巴黎→雷恩→聖馬洛（Saint-Malo）,聖馬洛古城牆・翡翠海岸・國家碉堡,06:48 TGV高鐵(4WCP2R)→08:15雷恩→轉TER至聖馬洛,車票已買・TER票需另外在SNCF App購買,聖馬洛飯店,06:48出發→08:15到雷恩→轉TER,09:30抵聖馬洛・行李寄放・蕎麥鹹薄餅午餐・古城牆漫步,Kouign-amann下午茶・石造小酒館海鮮晚餐,TER票需另購,建議搭08:35或09:00的TER・抵達後登古城牆俯瞰翡翠海岸
9/26,六,,取車自駕→聖米歇爾山（夜訪孤島修道院）,聖馬洛→聖米歇爾山（Mont Saint-Michel）,聖米歇爾山夜景・修道院點燈・普拉嬤嬤烘蛋,聖馬洛取車自駕45-50分,自駕（聖馬洛車站或古城周邊取車）,聖米歇爾山對岸飯店,飯店早餐・海灘最後拍照・辦理取車,抵達後Check-in・接駁車進山,山內晚餐（普拉嬤嬤外帶窗口省錢）・山腳欣賞點燈修道院,—,潮汐滿潮07:45/20:02（係數87/92）・乾潮02:15/14:35
9/27,日,,聖米歇爾山全日（超大潮！）,聖米歇爾山全島,修道院內部・防衛城牆・海灣散步,接駁車往返,修道院需單獨購票（非PMP）,聖米歇爾山對岸飯店（續住）,09:00-09:30第一批進修道院,上山走城牆俯瞰海灣・觀察潮汐・島嶼散步,飯店周邊散步放鬆,🔴需預約 abbaye-mont-saint-michel.fr,超大潮！滿潮08:20/20:37（係數95/97）・海水淹沒橋樑・孤島景觀震撼！
9/28,一,,自駕→翁夫勒（老港海鮮盛宴）,聖米歇爾山→翁夫勒（Honfleur）,聖凱瑟琳教堂・老港夜景・生蠔・淡菜薯條,自駕1.5-2小時,—,B&B HOTEL Honfleur,退房・開車前往翁夫勒,老港停車・蕎麥鹹薄餅午餐・聖凱瑟琳全木造教堂,Check-in・19:35日落後賞燈火倒映夜景・巷弄小酒館生蠔晚餐,—,聖凱瑟琳屋頂像翻轉船底・老港最美時段約19:35後
9/29,二,,自駕→象鼻海岸→盧昂,翁夫勒→象鼻海岸（Étretat）→盧昂（Rouen）,諾曼第大橋・阿瓦爾懸崖・三座巨型海蝕門,自駕翁夫勒→諾曼第大橋→象鼻海岸(45-50分)→盧昂(1小時),—,盧昂飯店,退房・自駕・10分鐘駛上諾曼第大橋,象鼻海岸懸崖健行・近距離觀賞三座海蝕門,開車前往盧昂・飯店Check-in,—,海崖風大建議帶防風外套・象鼻海岸免費不需預約
9/30,三,,盧昂全日深度遊（世紀古都）,盧昂（Rouen）全日,聖母大教堂・大時鐘・聖女貞德教堂・La Couronne,步行市區,—,盧昂飯店（續住）,聖母大教堂・金色天橋大時鐘,聖女貞德殉難地與教堂,La Couronne全法最古老小酒館（1345年）晚餐,🟡 La Couronne需提前訂位,Julia Child愛上法式料理的啟蒙之地・建議19:00訂位
10/1,四,,盧昂→莫內之家→回巴黎（還車）,盧昂→吉維尼（Giverny）→巴黎,莫內睡蓮池・日本橋・莫內花園,自駕盧昂→吉維尼50分→巴黎1.5小時→還車,第一批09:30入場・需提前預約,巴黎飯店,09:30第一批入場莫內之家（睡蓮池無人最美）,參觀花園後開車回巴黎・辦理還車,巴黎飯店Check-in・重回花都懷抱,🔴需預約 fondation-monet.com,10月仍在開放期（4-11月）・異地還車需確認費用
10/2,五,,凡爾賽宮（皇家奢華）,巴黎→凡爾賽宮（Château de Versailles）,鏡廳・國王寢宮・皇家花園・大運河,RER C至Versailles Château-Rive Gauche站（35-40分）,個別購票€21・需預約入場時段,巴黎飯店,早出發・RER C前往凡爾賽,一開門衝鏡廳（人最少時拍最美空景）・國王寢宮,皇家花園漫步・搭小火車或高爾夫車遊大運河・返巴黎,🔴需預約 chateauversailles.fr,一開門直接衝鏡廳！遲到拒絕入場！Navigo週卡可免費乘RER C
10/3,六,,楓丹白露宮（森林皇宮）,巴黎→楓丹白露（Fontainebleau）,楓丹白露宮・巴比松畫家村,Paris Gare de Lyon搭Transilien R線→Fontainebleau-Avon站(40分)→公車Ligne 1至宮殿,個別購票€14,巴黎飯店,搭火車前往楓丹白露,楓丹白露宮參觀,返巴黎・自由安排晚餐,—,Navigo週卡可免費乘Transilien R・可順道遊巴比松小鎮
10/4,日,,巴黎自由行,巴黎,自由安排・市集・Picard冷凍食品,—,—,巴黎飯店,自由起床・輕鬆早餐,逛市集或市區散步,自由晚餐,—,可去Marché d'Aligre週末市集・採購Picard伴手禮
10/5,一,,巴黎整理回程,巴黎,退稅單整理・最後採購・行李確認,—,—,巴黎飯店,確認行李重量・清點退稅單據,最後美食饗宴,精緻告別晚餐・打包完成,—,整理PABLO退稅機所需資料・確認明日出發時間
10/6,二,11:20,返台啟程,巴黎戴高樂機場（CDG）,—,前往機場（提前4小時）,—,機上,提前4小時前往機場・PABLO退稅機掃碼,通關安檢,11:20 起飛返台,—,退稅流程：先掃PABLO機（綠燈投信箱・紅燈找海關蓋章）・記得先辦退稅再託運行李！
10/7,三,6:40,平安返台,桃園國際機場,—,—,—,家,06:40 抵達桃園,—,旅途結束・帶著滿滿的回憶回家！,—,—
